Forest-pattern.py - OUTPUT
[*********************100%***********************]  7 of 7 completed
|   iter    |  target   | max_depth | min_sa... | n_esti... |
-------------------------------------------------------------
| 1         | 0.5214    | 2.498     | 95.17     | 246.4     |
| 2         | 0.5194    | 3.395     | 17.29     | 131.2     |
| 3         | 0.5269    | 1.232     | 86.89     | 220.2     |
| 4         | 0.5146    | 3.832     | 4.017     | 294.0     |
| 5         | 0.5146    | 4.33      | 22.81     | 136.4     |
| 6         | 0.5269    | 1.264     | 86.92     | 220.3     |
| 7         | 0.5275    | 1.0       | 99.01     | 209.4     |
| 8         | 0.5112    | 5.0       | 83.08     | 195.8     |
| 9         | 0.5269    | 1.0       | 100.0     | 221.5     |
| 10        | 0.5282    | 1.09      | 69.69     | 234.6     |
| 11        | 0.5282    | 1.242     | 50.17     | 235.1     |
| 12        | 0.5275    | 1.0       | 57.75     | 253.9     |
| 13        | 0.5058    | 5.0       | 33.63     | 250.3     |
| 14        | 0.5269    | 1.903     | 56.95     | 220.9     |
| 15        | 0.5275    | 1.0       | 73.21     | 267.4     |
| 16        | 0.5282    | 1.584     | 68.96     | 291.6     |
| 17        | 0.5092    | 5.0       | 90.91     | 288.7     |
| 18        | 0.5282    | 1.0       | 56.9      | 279.7     |
| 19        | 0.5221    | 2.864     | 52.84     | 299.9     |
| 20        | 0.5282    | 1.898     | 2.568     | 103.0     |
| 21        | 0.5146    | 4.637     | 22.55     | 100.3     |
| 22        | 0.5078    | 5.0       | 71.87     | 250.7     |
| 23        | 0.5282    | 1.0       | 68.11     | 278.6     |
| 24        | 0.5275    | 1.0       | 59.49     | 267.6     |
| 25        | 0.5269    | 1.0       | 70.86     | 223.2     |
=============================================================
|   iter    |  target   | max_depth | min_sa... | n_esti... |
-------------------------------------------------------------
| 1         | 0.5337    | 2.498     | 95.17     | 246.4     |
| 2         | 0.5327    | 3.395     | 17.29     | 131.2     |
| 3         | 0.532     | 1.232     | 86.89     | 220.2     |
| 4         | 0.534     | 3.832     | 4.017     | 294.0     |
| 5         | 0.5306    | 4.33      | 22.81     | 136.4     |
| 6         | 0.53      | 4.13      | 4.259     | 293.9     |
| 7         | 0.5317    | 4.448     | 53.73     | 126.2     |
| 8         | 0.532     | 1.143     | 57.34     | 250.5     |
| 9         | 0.532     | 4.358     | 70.68     | 141.8     |
| 10        | 0.5344    | 2.934     | 91.18     | 108.2     |
| 11        | 0.5317    | 4.711     | 39.69     | 177.3     |
| 12        | 0.53      | 4.195     | 11.22     | 240.4     |
| 13        | 0.5323    | 2.27      | 89.31     | 127.3     |
| 14        | 0.532     | 1.51      | 62.58     | 175.7     |
| 15        | 0.533     | 3.119     | 17.13     | 296.9     |
| 16        | 0.532     | 1.706     | 7.776     | 238.6     |
| 17        | 0.5344    | 2.903     | 33.16     | 272.6     |
| 18        | 0.5313    | 2.17      | 18.59     | 133.4     |
| 19        | 0.5313    | 4.66      | 41.86     | 187.6     |
| 20        | 0.5337    | 3.115     | 10.69     | 177.2     |
| 21        | 0.532     | 1.318     | 44.42     | 170.6     |
| 22        | 0.5313    | 4.327     | 71.45     | 116.1     |
| 23        | 0.5327    | 3.087     | 6.873     | 233.7     |
| 24        | 0.532     | 1.109     | 8.677     | 210.3     |
| 25        | 0.5313    | 4.915     | 32.68     | 123.4     |
=============================================================
|   iter    |  target   | max_depth | min_sa... | n_esti... |
-------------------------------------------------------------
| 1         | 0.5358    | 2.498     | 95.17     | 246.4     |
| 2         | 0.5303    | 3.395     | 17.29     | 131.2     |
| 3         | 0.5348    | 1.232     | 86.89     | 220.2     |
| 4         | 0.5317    | 3.832     | 4.017     | 294.0     |
| 5         | 0.5326    | 4.33      | 22.81     | 136.4     |
| 6         | 0.5319    | 3.858     | 91.83     | 241.1     |
| 7         | 0.5317    | 4.448     | 53.73     | 126.2     |
| 8         | 0.5348    | 1.143     | 57.34     | 250.5     |
| 9         | 0.5317    | 4.358     | 70.68     | 141.8     |
| 10        | 0.5358    | 2.934     | 91.18     | 108.2     |
| 11        | 0.5317    | 4.711     | 39.69     | 177.3     |
| 12        | 0.5319    | 4.195     | 11.22     | 240.4     |
| 13        | 0.5358    | 2.27      | 89.31     | 127.3     |
| 14        | 0.531     | 3.191     | 90.33     | 108.5     |
| 15        | 0.5319    | 3.119     | 17.13     | 296.9     |
| 16        | 0.5348    | 1.706     | 7.776     | 238.6     |
| 17        | 0.5346    | 2.903     | 33.16     | 272.6     |
| 18        | 0.5348    | 2.17      | 18.59     | 133.4     |
| 19        | 0.5319    | 4.66      | 41.86     | 187.6     |
| 20        | 0.5326    | 3.115     | 10.69     | 177.2     |
| 21        | 0.5348    | 1.318     | 44.42     | 170.6     |
| 22        | 0.5317    | 4.327     | 71.45     | 116.1     |
| 23        | 0.5358    | 2.536     | 95.21     | 246.4     |
| 24        | 0.5358    | 2.636     | 95.48     | 246.0     |
| 25        | 0.5358    | 2.753     | 91.8      | 108.0     |
=============================================================
|   iter    |  target   | max_depth | min_sa... | n_esti... |
-------------------------------------------------------------
| 1         | 0.5138    | 2.498     | 95.17     | 246.4     |
| 2         | 0.5133    | 3.395     | 17.29     | 131.2     |
| 3         | 0.5126    | 1.232     | 86.89     | 220.2     |
| 4         | 0.5136    | 3.832     | 4.017     | 294.0     |
| 5         | 0.5106    | 4.33      | 22.81     | 136.4     |
